#945 objects (#289 active) using -324.42% of available memory

OBJECTS BY TYPE
number (active) [garbage/   dead/outside/at-rest] maxsize totsize
    25 (    16) [      0/      9/      9/     23]    8440  174770 biped
   158 (    98) [      0/      0/     23/    152]    1520  149226 weapon
   329 (    69) [      0/      0/    209/    329]     610  133630 scenery
    49 (    30) [      0/      3/      5/     32]    4294  133278 vehicle
   308 (    75) [      1/      0/    160/    301]     664  125966 crate
    62 (     1) [      0/      0/     58/      3]     462   28396 equipment
     8 (     0) [      0/      0/      6/      8]     990    6652 machine
     6 (     0) [      0/      0/      6/      0]     402    2412 sound_scenery
     0 (     0) [      0/      0/      0/      0]       0       0 light_fixture
     0 (     0) [      0/      0/      0/      0]       0       0 control
     0 (     0) [      0/      0/      0/      0]       0       0 garbage
     0 (     0) [      0/      0/      0/      0]       0       0 projectile
     0 (     0) [      0/      0/      0/      0]       0       0 creature

OBJECTS BY DEFINITION
number (active) [garbage/   dead/outside/at-rest] maxsize totsize
     7 (     0) [      0/      7/      7/      7]    8160   57120 objects\characters\marine\marine
    43 (     0) [      0/      0/     43/     43]     390   16770 scenarios\objects\solo\earthcity\stone_panels\dstroy_stone_flatb\dstroy_stone_flatb
    22 (     8) [      0/      0/      6/     21]     664   14608 objects\vehicles\civilian\panel_truck\panel_truck
    28 (     0) [      0/      0/     28/      0]     462   12936 objects\weapons\grenade\frag_grenade\frag_grenade
     6 (     0) [      0/      0/      0/      4]    2036   12216 objects\vehicles\wraith\turrets\minigun\minigun
     3 (     1) [      0/      2/      2/      3]    4036   12108 objects\characters\grunt\grunt
    31 (     0) [      0/      0/     31/     31]     382   11842 scenarios\objects\nature\trees\palmtrees\palmtree_a\palmtree_a
    32 (     2) [      0/      0/     30/     32]     370   11840 objects\gear\human\military\crate_packing\crate_packing
    28 (     0) [      0/      0/     28/     28]     390   10920 scenarios\objects\solo\earthcity\stone_panels\dstroy_stone_top\dstroy_stone_top
    26 (    11) [      0/      0/      7/     24]     402   10452 objects\vehicles\civilian\uberchassis\uberchassis
    26 (     3) [      0/      0/     15/     26]     370    9620 scenarios\objects\solo\earthcity\road_cone\road_cone
    24 (     0) [      0/      0/     24/     24]     390    9360 scenarios\objects\solo\earthcity\stone_panels\dstroy_stone_flat\dstroy_stone_flat
     3 (     3) [      0/      0/      0/      2]    2978    8934 phanrev\objects\vehicles\brute_wraith\brute_wraith
     3 (     0) [      0/      0/      0/      2]    2922    8766 phanrev\objects\vehicles\brute_wraith\brute_mortar\brute_mortar
    22 (    14) [      0/      0/      0/     22]     390    8580 scenarios\objects\solo\earthcity\road_objects\bridge_light\bridge_light
     1 (     1) [      0/      0/      0/      1]    8440    8440 reclamation_project\tags\halo_3\characters\elite\elite
     1 (     1) [      0/      0/      0/      1]    8430    8430 reclamation_project\tags\halo_reach\characters\elite\elite
     6 (     1) [      0/      0/      5/      3]    1396    8376 objects\weapons\support_high\rocket_launcher\rocket_launcher
     1 (     1) [      0/      0/      0/      1]    8342    8342 spv3\characters\h2a_dervish\h2a_dervish
     3 (     0) [      0/      0/      2/      2]    2758    8274 phanrev\objects\vehicles\brute_revenant\turrets\plasma_mortar\brute_mortar
     1 (     1) [      0/      0/      0/      1]    8230    8230 reclamation_project\tags\halo_3\characters\h3odstek\odst\odst
     3 (     3) [      0/      0/      2/      2]    2726    8178 phanrev\objects\vehicles\brute_revenant\brute_revenant
     1 (     1) [      0/      0/      0/      1]    8142    8142 reclamation_project\tags\halo_3\characters\marine\marine
     1 (     1) [      0/      0/      0/      1]    8076    8076 reclamation_project\tags\halo_3\characters\odst\odst
     1 (     1) [      0/      0/      0/      0]    7772    7772 zoephie\halo_reach\brute\brute
     1 (     1) [      0/      0/      0/      1]    7638    7638 reclamation_project\tags\halo_3\characters\brute\brute
    16 (     0) [      0/      0/     16/      0]     454    7264 objects\powerups\battle_rifle_ammo\br_ammo
     1 (     1) [      0/      0/      0/      1]    6616    6616 reclamation_project\tags\halo_3\characters\jackal\jackal
     5 (     0) [      0/      0/      5/      3]    1280    6400 objects\weapons\rifle\sniper_rifle\sniper_rifle
    16 (     1) [      0/      0/      5/     16]     394    6304 objects\gear\human\industrial\crate_tech_giant\crate_tech_giant
     1 (     1) [      0/      0/      0/      1]    6180    6180 reclamation_project\tags\halo_3\characters\floodcombat_elite\floodcombat_elite
     2 (     2) [      0/      0/      0/      2]    3026    6052 phanrev\objects\vehicles\kestrel\kestrel_d
     9 (     3) [      0/      0/      2/      8]     664    5976 objects\vehicles\civilian\bus\bus
     1 (     1) [      0/      0/      0/      0]    5964    5964 d_flog_flag\objects\characters\hr_spartan\hr_spartan
