block	count	size	element size	actual element size
character_firing_pattern_block	126	8064	64	64.000000
character_weapons_block	136	27744	224	204.000000
character_firing_pattern_properties_block	155	2480	28	16.000000
character_grenades_block	8	480	60	60.000000
character_vehicle_block	48	8640	196	180.000000
character_idle_block	1	12	12	12.000000
character_vocalization_block	1	8	8	8.000000
character_boarding_block	4	64	16	16.000000
character_boss_block	1	12	12	12.000000
character	46	11960	408	260.000000
character_variants_block	37	444	12	12.000000
character_general_block	20	240	12	12.000000
character_placement_block	5	260	52	52.000000
character_vitality_block	33	3696	112	112.000000
character_perception_block	9	468	52	52.000000
character_look_block	2	160	80	80.000000
character_movement_block	18	648	36	36.000000
character_swarm_block	3	120	40	40.000000
character_engage_block	12	192	16	16.000000
character_evasion_block	17	340	20	20.000000
character_cover_block	26	1664	64	64.000000
character_search_block	15	300	20	20.000000
character_presearch_block	14	504	36	36.000000
character_retreat_block	9	684	84	76.000000
character_charge_block	25	1600	72	64.000000
character_ready_block	18	144	8	8.000000
behavior_names_block	524	16768	32	32.000000
style	34	3128	100	92.000000
style_palette_block	5	40	16	8.000000
response_block	35	420	12	12.000000
vocalization_definitions_block_0	330	31680	104	96.000000
vocalization_patterns_block	239	15296	64	64.000000
dialogue_data_block	200	800	4	4.000000
involuntary_data_block	22	88	4	4.000000
ai_dialogue_globals	1	44	60	44.000000
mission_dialogue_variants_block	139	2224	24	16.000000
mission_dialogue_lines_block	127	2032	20	16.000000
ai_mission_dialogue	1	8	12	8.000000
ai_scene_role_variants_block	8	32	4	4.000000
ai_scene_role_block	11	176	20	16.000000
ai_scene_trigger_block	6	72	16	12.000000
ai_scene_block	11	264	32	24.000000
ai_scenario_mission_dialogue_block	1	8	16	8.000000
user_hint_block	4	288	108	72.000000
pathfinding_hints_block	2721	54420	20	20.000000
user_hint_line_segment_block	44	1584	36	36.000000
user_hint_parallelogram_block	212	14416	68	68.000000
user_hint_flight_block	1	8	12	8.000000
special_movement_block	7	28	4	4.000000
user_hint_flight_point_block	3	36	12	12.000000
user_hint_jump_block	212	1696	8	8.000000
user_hint_climb_block	44	176	4	4.000000
actor_starting_locations_block	433	43300	100	100.000000
