block	count	size	element size	actual element size
character_firing_pattern_block	77	4928	64	64.000000
character_weapons_block	70	14280	224	204.000000
character_firing_pattern_properties_block	62	992	28	16.000000
character_grenades_block	5	300	60	60.000000
character_vehicle_block	29	5220	196	180.000000
character_idle_block	1	12	12	12.000000
character_vocalization_block	1	8	8	8.000000
character_boarding_block	1	16	16	16.000000
character	19	4940	408	260.000000
character_variants_block	31	372	12	12.000000
character_general_block	6	72	12	12.000000
character_placement_block	4	208	52	52.000000
character_vitality_block	15	1680	112	112.000000
character_perception_block	4	208	52	52.000000
character_look_block	1	80	80	80.000000
character_movement_block	5	180	36	36.000000
character_engage_block	4	64	16	16.000000
character_evasion_block	13	260	20	20.000000
character_cover_block	11	704	64	64.000000
character_search_block	8	160	20	20.000000
character_presearch_block	9	324	36	36.000000
character_retreat_block	9	684	84	76.000000
character_charge_block	11	704	72	64.000000
character_ready_block	13	104	8	8.000000
behavior_names_block	524	16768	32	32.000000
style	23	2116	100	92.000000
style_palette_block	6	48	16	8.000000
response_block	35	420	12	12.000000
vocalization_definitions_block_0	330	31680	104	96.000000
vocalization_patterns_block	239	15296	64	64.000000
dialogue_data_block	200	800	4	4.000000
involuntary_data_block	22	88	4	4.000000
ai_dialogue_globals	1	44	60	44.000000
mission_dialogue_variants_block	139	2224	24	16.000000
mission_dialogue_lines_block	127	2032	20	16.000000
ai_mission_dialogue	1	8	12	8.000000
ai_scene_role_block	1	16	20	16.000000
ai_scene_trigger_block	1	12	16	12.000000
ai_scene_block	1	24	32	24.000000
ai_scenario_mission_dialogue_block	1	8	16	8.000000
user_hint_block	3	216	108	72.000000
pathfinding_hints_block	1839	36780	20	20.000000
user_hint_line_segment_block	14	504	36	36.000000
user_hint_parallelogram_block	35	2380	68	68.000000
user_hint_flight_block	1	8	12	8.000000
special_movement_block	2	8	4	4.000000
user_hint_flight_point_block	4	48	12	12.000000
user_hint_jump_block	35	280	8	8.000000
user_hint_climb_block	14	56	4	4.000000
actor_starting_locations_block	234	23400	100	100.000000
squads_block	93	10788	120	116.000000
squad_groups_block	41	1476	36	36.000000
trigger_references	95	760	8	8.000000
order_completion_condition	93	5208	56	56.000000
zone_set_block	517	4136	8	8.000000
secondary_zone_set_block	30	240	8	8.000000
order_ending_block	81	1620	24	20.000000
secondary_set_trigger_block	7	84	16	12.000000
orders_block	132	16368	144	124.000000
