block	count	size	element size	actual element size
response_block	35	420	12	12.000000
vocalization_definitions_block_0	330	31680	104	96.000000
vocalization_patterns_block	239	15296	64	64.000000
dialogue_data_block	200	800	4	4.000000
involuntary_data_block	22	88	4	4.000000
ai_dialogue_globals	1	44	60	44.000000
animation_graph_sound_reference_block	159	1908	20	12.000000
animation_graph_node_block	292	9344	32	32.000000
animation_graph_effect_reference_block	8	96	20	12.000000
animation_frame_event_block	205	820	4	4.000000
animation_sound_event_block	170	1360	8	8.000000
animation_effect_event_block	1	4	4	4.000000
animation_blend_screen_block	19	532	28	28.000000
object_space_node_data_block	9	252	28	28.000000
animation_pool_block	493	47328	124	96.000000
animation_transition_destination_block	27	540	20	20.000000
animation_transition_block	15	300	24	20.000000
animation_ik_block	5	40	8	8.000000
animation_entry_block	375	3000	8	8.000000
damage_region_block	286	1144	4	4.000000
damage_direction_block	28	224	12	8.000000
damage_animation_block	7	84	16	12.000000
weapon_type_block	30	1560	76	52.000000
weapon_class_block	24	480	28	20.000000
animation_mode_block	14	280	28	20.000000
inherited_animation_node_map_block	33	68	2	2.060606
inherited_animation_node_map_flag_block	2	8	4	4.000000
inherited_animation_block	1	32	48	32.000000
weapon_class_lookup_block	7	56	8	8.000000
model_animation_graph	12	2064	236	172.000000
bitmap_data_block	1228	206304	140	168.000000
bitmap_group_sprite_block	155	4960	32	32.000000
bitmap_group_sequence_block	149	8940	64	60.000000
bitmap	513	41040	112	80.000000
particle_models_block	2	16	8	8.000000
particle_model_vertices_block	401	22456	56	56.000000
particle_model_indices_block	1584	3168	2	2.000000
particle_model	2	448	292	224.000000
model	12	3024	348	252.000000
variant	21	1176	72	56.000000
region	48	960	24	20.000000
permutation	13	416	36	32.000000
material	16	320	20	20.000000
model_region_block	18	288	20	16.000000
model_permutation_block	16	128	8	8.000000
model_node_block	109	10028	92	92.000000
model_target_block	4	112	28	28.000000
model_object_data_block	7	140	20	20.000000
render_model	15	1980	184	132.000000
region	28	448	20	16.000000
permutation	33	528	16	16.000000
render_model_section_block	82	7544	104	92.000000
bitvector	32	128	4	4.000000
section group	15	180	16	12.000000
node	119	11424	96	96.000000
marker group	91	1092	16	12.000000
marker	117	4212	36	36.000000
material	14	56	4	4.000000
region	10	120	16	12.000000
collision_model_permutation_block	10	200	28	20.000000
collision_model_node_block	101	1212	12	12.000000
sphere	20	400	20	20.000000
bsp	39	2652	100	68.000000
collision_model	6	312	76	52.000000
rigid_bodies_block	20	3200	144	160.000000
spheres_block	9	1440	128	160.000000
pills_block	24	2304	80	96.000000
boxes_block	2	352	144	176.000000
ragdoll_constraints_block	10	1480	148	148.000000
regions_block	3	36	16	12.000000
permutations_block	3	36	16	12.000000
rigid_body_indices_block	20	40	2	2.000000
nodes_block	89	1068	12	12.000000
limited_hinge_constraints_block	8	1056	132	132.000000
physics_model_constraint_edge_constraint_block	18	216	12	12.000000
physics_model_node_constraint_edge_block	18	432	28	24.000000
physics_model	3	816	396	272.000000
materials_block	3	36	12	12.000000
color_block	24	1152	48	48.000000
color_table	3	24	12	8.000000
multilingual_unicode_string_list	147	7644	68	52.000000
inertial_matrix_block	2	72	36	36.000000
mass_point_block	18	2304	128	128.000000
physics	1	128	128	128.000000
contrail_point_states_block	6	384	72	64.000000
contrail	3	720	260	240.000000
effect_locations_block	34	136	4	4.000000
effect_part_block	13	728	64	56.000000
effect_event_block	40	2240	72	56.000000
effect	33	1584	64	48.000000
particle	49	9212	248	188.000000
particle_controller_parameters	70	1400	24	20.000000
particle_controller	22	440	24	20.000000
particle_physics	18	360	32	20.000000
old_materials_block	33	1188	44	36.000000
player_information_block	1	284	372	284.000000
falling_damage_block	1	104	152	104.000000
havok_cleanup_resources_block	1	8	16	8.000000
collision_damage_block	1	72	80	72.000000
vertex_shader_reference_block	33	264	16	8.000000
rasterizer_data_block	1	264	428	264.000000
interface_tag_references	1	152	304	152.000000
custom_references_block	8	64	16	8.000000
difficulty_block	1	644	644	644.000000
look_function_block	6	24	4	4.000000
player_control_block	1	128	132	128.000000
camera_block	1	20	28	20.000000
sound_block	2	16	16	8.000000
armor_modifier_block	714	5712	8	8.000000
damage_group_block	21	252	16	12.000000
game_globals_damage_block	1	8	12	8.000000
ai_globals_gravemind_block	1	12	12	12.000000
ai_globals_block	1	360	372	360.000000
multiplayer_color_block	18	216	12	12.000000
globals	1	644	760	644.000000
looping_sound_track_block	24	2112	144	88.000000
sound_looping	23	1196	76	52.000000
sound_globals_block	1	44	84	44.000000
sound_permutation_chunk_block	784	12544	16	16.000000
sound_dialogue_constants	1	40	40	40.000000
sound_mix	1	88	88	88.000000
camera_track_control_point_block	22	616	28	28.000000
camera_track	2	24	16	12.000000
point_physics	1	64	64	64.000000
structure_lightmap_group_block	1	104	156	104.000000
scenario_structure_lightmap	1	260	268	260.000000
transparent_planes_block	57	1140	20	20.000000
structure_bsp_cluster_block	70	12320	216	176.000000
structure_bsp_fog_plane_block	1	24	24	24.000000
structure_bsp_cluster_portal_vertex_block	604	7248	12	12.000000
structure_bsp_cluster_portal_block	151	5436	40	36.000000
structure_collision_materials_block	7	140	36	20.000000
structure_bsp_environment_object_palette_block	1	20	36	20.000000
structure_bsp_environment_object_block	1	104	104	104.000000
structure_bsp_detail_object_data_block	1	36	52	36.000000
structure_bsp_cluster_instanced_geometry_index_block	167	380	2	2.275449
structure_bsp_cluster_portal_index_block	302	680	2	2.251656
