block	count	size	element size	actual element size
character_firing_pattern_block	74	4736	64	64.000000
character_weapons_block	64	13056	224	204.000000
character_firing_pattern_properties_block	60	960	28	16.000000
character_grenades_block	2	120	60	60.000000
character_vehicle_block	28	5040	196	180.000000
character_idle_block	1	12	12	12.000000
character_vocalization_block	1	8	8	8.000000
character	2	520	408	260.000000
character_general_block	2	24	12	12.000000
character_placement_block	1	52	52	52.000000
character_vitality_block	1	112	112	112.000000
character_perception_block	4	208	52	52.000000
character_look_block	1	80	80	80.000000
character_movement_block	1	36	36	36.000000
character_engage_block	3	48	16	16.000000
character_evasion_block	3	60	20	20.000000
character_cover_block	1	64	64	64.000000
character_search_block	1	20	20	20.000000
character_presearch_block	1	36	36	36.000000
character_retreat_block	2	152	84	76.000000
character_charge_block	3	192	72	64.000000
character_ready_block	3	24	8	8.000000
behavior_names_block	393	12576	32	32.000000
style	10	920	100	92.000000
response_block	35	420	12	12.000000
vocalization_definitions_block_0	330	31680	104	96.000000
vocalization_patterns_block	239	15296	64	64.000000
dialogue_data_block	200	800	4	4.000000
involuntary_data_block	22	88	4	4.000000
ai_dialogue_globals	1	44	60	44.000000
campaign_metagame_bucket_block	1	4	2	4.000000
animation_graph_sound_reference_block	334	4008	20	12.000000
animation_graph_node_block	1772	56704	32	32.000000
animation_graph_effect_reference_block	9	108	20	12.000000
animation_frame_event_block	436	1744	4	4.000000
animation_sound_event_block	458	3664	8	8.000000
animation_effect_event_block	6	24	4	4.000000
animation_blend_screen_block	35	980	28	28.000000
object_space_node_data_block	31	868	28	28.000000
animation_pool_block	2630	252480	124	96.000000
animation_transition_destination_block	246	4920	20	20.000000
animation_transition_block	150	3000	24	20.000000
animation_ik_block	61	488	8	8.000000
animation_entry_block	3722	29776	8	8.000000
damage_region_block	462	1848	4	4.000000
damage_direction_block	44	352	12	8.000000
damage_animation_block	11	132	16	12.000000
vehicle_suspension_block	20	800	40	40.000000
weapon_type_block	743	38636	76	52.000000
weapon_class_block	504	10080	28	20.000000
animation_mode_block	224	4480	28	20.000000
object_animation_block	2	40	20	20.000000
inherited_animation_node_map_block	218	444	2	2.036697
inherited_animation_node_map_flag_block	10	40	4	4.000000
inherited_animation_block	6	192	48	32.000000
weapon_class_lookup_block	55	440	8	8.000000
model_animation_graph	70	12040	236	172.000000
bitmap_data_block	1739	292152	140	168.000000
bitmap_group_sprite_block	918	29376	32	32.000000
bitmap_group_sequence_block	589	35340	64	60.000000
bitmap	789	63120	112	80.000000
