sound_effect_template                                                                                    count  elements      size   padding
                                                      platform_sound_effect_template_component_block         1         7       112         0
                                                                platform_sound_effect_template_block         1         1        12        12
                                                     platform_sound_effect_template_collection_block         5         5        60         0
                                                                               sound_effect_template         5         5       140         0
                                                                                             totals:        12        18       324        12

decorator_set                                                                                            count  elements      size   padding
                                                                    decorator_shader_reference_block         7        10        80         0
                                                                        decorator_permutations_block        11        42      1554       126
                                                                             decorator_classes_block         7        11       187        33
                                                                                       decorator_set         7         7       574       210
                                                                              decorator_models_block         3        23       184         0
                                                                      decorator_model_vertices_block         3       756     42336         0
                                                                       decorator_model_indices_block         3      2130      4260         0
                                                                                     block resources         3         3        39         9
                                                                                             totals:        44      2982     49214       378

light_volume                                                                                             count  elements      size   padding
                                                                                          byte_block        58      4032      4032         0
                                                                   light_volume_runtime_offset_block        14       216      1728         0
                                                                                              volume        15        17      2584         0
                                                                                        light_volume        15        15       240         0
                                                                                              aspect        11        11       308         0
                                                                                             totals:       113      4291      8892         0

particle_model                                                                                           count  elements      size   padding
                                                                                          byte_block        36       952       952         0
                                                                               particle_models_block         9        14       112         0
                                                                       particle_model_vertices_block         9      1209     67704         0
                                                                        particle_model_indices_block         9      4332      8664         0
                                                                                     block resources         9         9       117        27
                                                                                      particle_model         9         9      1530       486
                                                                                             totals:        81      6525     79079       513

ai_dialogue_globals                                                                                      count  elements      size   padding
                                                                                      response_block        23        35       420         0
                                                                    vocalization_definitions_block_0         1       330     31680         0
                                                                         vocalization_patterns_block         1       239     10516      4780
                                                                                 dialogue_data_block         1       200       800         0
                                                                              involuntary_data_block         1        22        44        44
                                                                                 ai_dialogue_globals         1         1        32        12
                                                                                             totals:        28       827     43492      4836

antenna                                                                                                  count  elements      size   padding
                                                                                antenna_vertex_block         3        17       850      1326
                                                                                             antenna         3         3       120       360
                                                                                             totals:         6        20       970      1686

biped                                                                                                    count  elements      size   padding
                                                                          object_ai_properties_block         5         5        60        20
                                                                                          byte_block        14       280       280         0
                                                                               object_function_block         5        14       448         0
                                                                             object_attachment_block         5         9       198        18
                                                             object_change_color_initial_permutation        10        46      1472         0
                                                                                object_change_colors         5        18       288         0
                                                                            predicted_resource_block         5       384      3072         0
                                                                             unit_camera_track_block         5         5        40         0
                                                                            unit_hud_reference_block         5        10        80         0
                                                                                       spheres_block         5        15      2400         0
                                                                                         pills_block         5        10       960         0
                                                                                 contact_point_block         5        10        40         0
                                                                                               biped         5         5      3685       255
                                                                                             totals:        79       811     13023       293

bitmap                                                                                                   count  elements      size   padding
                                                                                   bitmap_data_block       789      1739    292152         0
                                                                                              bitmap       789       789     63120         0
                                                                           bitmap_group_sprite_block       270       918     23868      5508
                                                                         bitmap_group_sequence_block       191       589     25916      9424
                                                                                             totals:      2039      4035    405056     14932

crate                                                                                                    count  elements      size   padding
                                                                          object_ai_properties_block         8         8        96        32
                                                                            predicted_resource_block        71       692      5536         0
                                                                                               crate        72        72     13032       792
                                                                               object_function_block         2         3        96         0
