block	count	size	element size	actual element size
character_firing_pattern_block	98	6272	64	64.000000
character_weapons_block	64	13056	224	204.000000
character_firing_pattern_properties_block	76	1216	28	16.000000
character_grenades_block	3	180	60	60.000000
character_vehicle_block	28	5040	196	180.000000
character_idle_block	1	12	12	12.000000
character_vocalization_block	1	8	8	8.000000
character_boarding_block	1	16	16	16.000000
character	6	1560	408	260.000000
character_general_block	4	48	12	12.000000
character_placement_block	1	52	52	52.000000
character_vitality_block	3	336	112	112.000000
character_perception_block	8	416	52	52.000000
character_look_block	1	80	80	80.000000
character_movement_block	2	72	36	36.000000
character_swarm_block	3	120	40	40.000000
character_engage_block	3	48	16	16.000000
character_evasion_block	4	80	20	20.000000
character_cover_block	2	128	64	64.000000
character_search_block	2	40	20	20.000000
character_presearch_block	1	36	36	36.000000
character_retreat_block	2	152	84	76.000000
character_charge_block	4	256	72	64.000000
character_ready_block	4	32	8	8.000000
behavior_names_block	393	12576	32	32.000000
style	12	1104	100	92.000000
response_block	35	420	12	12.000000
vocalization_definitions_block_0	330	31680	104	96.000000
vocalization_patterns_block	239	15296	64	64.000000
dialogue_data_block	200	800	4	4.000000
involuntary_data_block	22	88	4	4.000000
ai_dialogue_globals	1	44	60	44.000000
campaign_metagame_bucket_block	2	8	2	4.000000
animation_graph_sound_reference_block	472	5664	20	12.000000
animation_graph_node_block	2391	76512	32	32.000000
animation_graph_effect_reference_block	10	120	20	12.000000
animation_frame_event_block	1239	4956	4	4.000000
animation_sound_event_block	1748	13984	8	8.000000
animation_effect_event_block	6	24	4	4.000000
animation_blend_screen_block	64	1792	28	28.000000
object_space_node_data_block	43	1204	28	28.000000
animation_pool_block	4982	478272	124	96.000000
animation_transition_destination_block	688	13760	20	20.000000
animation_transition_block	382	7640	24	20.000000
animation_ik_block	71	568	8	8.000000
animation_entry_block	6546	52368	8	8.000000
damage_region_block	1848	7392	4	4.000000
damage_direction_block	216	1728	12	8.000000
damage_animation_block	54	648	16	12.000000
vehicle_suspension_block	20	800	40	40.000000
weapon_type_block	1516	78832	76	52.000000
weapon_class_block	1143	22860	28	20.000000
animation_mode_block	524	10480	28	20.000000
object_animation_block	2	40	20	20.000000
inherited_animation_node_map_block	387	784	2	2.025840
inherited_animation_node_map_flag_block	17	68	4	4.000000
inherited_animation_block	9	288	48	32.000000
weapon_class_lookup_block	111	888	8	8.000000
model_animation_graph	94	16168	236	172.000000
bitmap_data_block	1997	335496	140	168.000000
bitmap_group_sprite_block	871	27872	32	32.000000
bitmap_group_sequence_block	564	33840	64	60.000000
bitmap	1032	82560	112	80.000000
particle_models_block	16	128	8	8.000000
particle_model_vertices_block	1173	65688	56	56.000000
particle_model_indices_block	4326	8652	2	2.000000
particle_model	8	1792	292	224.000000
model	147	37044	348	252.000000
variant	128	7168	72	56.000000
region	549	10980	24	20.000000
model_variant_state_block	410	9840	32	24.000000
permutation	249	7968	36	32.000000
object	18	288	24	16.000000
material	245	4900	20	20.000000
model_region_block	217	3472	20	16.000000
model_permutation_block	226	1808	8	8.000000
model_node_block	988	90896	92	92.000000
model_target_block	118	3304	28	28.000000
model_object_data_block	106	2120	20	20.000000
render_model	169	22308	184	132.000000
region	314	5024	20	16.000000
permutation	601	9616	16	16.000000
render_model_section_block	1503	138276	104	92.000000
bitvector	1724	6896	4	4.000000
section group	171	2052	16	12.000000
compound node	8	128	16	16.000000
node	1341	128736	96	96.000000
marker group	1105	13260	16	12.000000
marker	1401	50436	36	36.000000
material	279	1116	4	4.000000
region	208	2496	16	12.000000
collision_model_permutation_block	362	7240	28	20.000000
collision_model_node_block	853	10236	12	12.000000
sphere	168	3360	20	20.000000
bsp	686	46648	100	68.000000
collision_model	124	6448	76	52.000000
rigid_bodies_block	196	31360	144	160.000000
spheres_block	67	10720	128	160.000000
pills_block	112	10752	80	96.000000
boxes_block	13	2288	144	176.000000
polyhedra_block	160	46080	256	288.000000
polyhedron_four_vectors_block	215	10320	48	48.000000
