sound_effect_template                                                                                    count  elements      size   padding
                                                      platform_sound_effect_template_component_block         1         7       112         0
                                                                platform_sound_effect_template_block         1         1        12        12
                                                     platform_sound_effect_template_collection_block         5         5        60         0
                                                                               sound_effect_template         5         5       140         0
                                                                                             totals:        12        18       324        12

light_volume                                                                                             count  elements      size   padding
                                                                                          byte_block        65      4348      4348         0
                                                                   light_volume_runtime_offset_block        16       280      2240         0
                                                                                              volume        17        19      2888         0
                                                                                        light_volume        17        17       272         0
                                                                                              aspect        11        11       308         0
                                                                                             totals:       126      4675     10056         0

particle_model                                                                                           count  elements      size   padding
                                                                                          byte_block        32       832       832         0
                                                                               particle_models_block         8        16       128         0
                                                                       particle_model_vertices_block         8      1173     65688         0
                                                                        particle_model_indices_block         8      4326      8652         0
                                                                                     block resources         8         8       104        24
                                                                                      particle_model         8         8      1360       432
                                                                                             totals:        72      6363     76764       456

ai_dialogue_globals                                                                                      count  elements      size   padding
                                                                                      response_block        23        35       420         0
                                                                    vocalization_definitions_block_0         1       330     31680         0
                                                                         vocalization_patterns_block         1       239     10516      4780
                                                                                 dialogue_data_block         1       200       800         0
                                                                              involuntary_data_block         1        22        44        44
                                                                                 ai_dialogue_globals         1         1        32        12
                                                                                             totals:        28       827     43492      4836

antenna                                                                                                  count  elements      size   padding
                                                                                antenna_vertex_block         3        17       850      1326
                                                                                             antenna         3         3       120       360
                                                                                             totals:         6        20       970      1686

biped                                                                                                    count  elements      size   padding
                                                                          object_ai_properties_block        18        18       216        72
                                                                                          byte_block        20       400       400         0
                                                                               object_function_block         8        20       640         0
                                                                             object_attachment_block        11        23       506        46
                                                             object_change_color_initial_permutation        27        94      3008         0
                                                                                object_change_colors        14        38       608         0
                                                                            predicted_resource_block        18       698      5584         0
                                                                             unit_camera_track_block        19        19       152         0
                                                                            unit_hud_reference_block         6        12        96         0
                                                                                       spheres_block        19        56      8960         0
                                                                                         pills_block        17        34      3264         0
                                                                                 contact_point_block        17        34       136         0
                                                                                               biped        18        18     13266       918
                                                                                 unit_postures_block         1         4        64         0
                                                                                 object_widget_block         1         1         8         0
                                                                              dialogue_variant_block         4         4        40         8
                                                                                   unit_weapon_block         2         2        16         0
                                                                                     unit_seat_block         1         1       176         0
                                                                                             totals:       221      1476     37140      1044

bitmap                                                                                                   count  elements      size   padding
                                                                                   bitmap_data_block      1032      1997    335496         0
                                                                                              bitmap      1032      1032     82560         0
                                                                         bitmap_group_sequence_block       185       564     24816      9024
                                                                           bitmap_group_sprite_block       250       871     22646      5226
                                                                                             totals:      2499      4464    465518     14250

crate                                                                                                    count  elements      size   padding
                                                                            predicted_resource_block        56       545      4360         0
                                                                                               crate        56        56     10136       616
                                                                          object_ai_properties_block         5         5        60        20
                                                                               object_function_block         2         2        64         0
                                                                             object_attachment_block         5         7       154        14
                                                             object_change_color_initial_permutation         3         6       192         0
                                                                                object_change_colors         3         5        80         0
                                                                                          byte_block         1        52        52         0
                                                                                             totals:       131       678     15098       650

