sound_effect_template                                                                                       tag     string    padding  tag splat     bitmap      sound   vertices   geometry     shared  duplicate      total
                                            sound\dsp_effects\sound_effect_templates\mono_distortion        164          0         12         20          0          0          0          0          0          0        176
                                       sound\dsp_effects\sound_effect_templates\controller_0_headset         40          0          0         16          0          0          0          0          0          0         40
                                       sound\dsp_effects\sound_effect_templates\controller_1_headset         40          0          0         16          0          0          0          0          0          0         40
                                       sound\dsp_effects\sound_effect_templates\controller_2_headset         40          0          0         16          0          0          0          0          0          0         40
                                       sound\dsp_effects\sound_effect_templates\controller_3_headset         40          0          0         16          0          0          0          0          0          0         40
                                                             sound_effect_template totals for 5 tags        324          0         12         84          0          0          0          0          0          0        336

light_volume                                                                                                tag     string    padding  tag splat     bitmap      sound   vertices   geometry     shared  duplicate      total
                                                           objects\characters\masterchief\flashlight        608          0          0         40          0          0          0          0          0          0        608
                                                       effects\objects\vehicles\banshee\banshee_bolt        788          0          0         48          0          0          0          0          0          0        788
                                                           effects\objects\vehicles\ghost\ghost_bolt        168          0          0         40          0          0          0          0          0          0        168
                                                 effects\objects\vehicles\phantom\plasma_turret\bolt        636          0          0         48          0          0          0          0          0          0        636
                                                           effects\objects\vehicles\phantom\antigrav        356          0          0         40          0          0          0          0          0          0        356
                                                          effects\objects\vehicles\pelican\thrusters        744          0          0         40          0          0          0          0          0          0        744
                                                               effects\objects\vehicles\pelican\jets        676          0          0         40          0          0          0          0          0          0        676
                                                       effects\objects\weapons\pistol\needler\needle        480          0          0         48          0          0          0          0          0          0        480
                                            effects\objects\weapons\pistol\plasma_pistol\plasma_bolt       1072          0          0         92          0          0          0          0          0          0       1072
                                    effects\objects\weapons\pistol\plasma_pistol\plasma_charged_bolt        936          0          0         92          0          0          0          0          0          0        936
                                            effects\objects\weapons\rifle\plasma_rifle\plasma_streak        720          0          0         48          0          0          0          0          0          0        720
                                          effects\objects\weapons\support_high\flak_cannon\flak_bolt        348          0          0         48          0          0          0          0          0          0        348
                                    effects\objects\weapons\support_high\flak_cannon\flak_bolt_armed        492          0          0         48          0          0          0          0          0          0        492
                                             effects\scenarios\objects\covenant\military\scarab\beam        556          0          0         48          0          0          0          0          0          0        556
                                  effects\objects\weapons\rifle\brute_plasma_rifle\red_plasma_streak        348          0          0         40          0          0          0          0          0          0        348
                                                         effects\objects\vehicles\wraith\plasma_vent        500          0          0         40          0          0          0          0          0          0        500
                                                              effects\objects\vehicles\spectre\boost        628          0          0         40          0          0          0          0          0          0        628
                                                                     light_volume totals for 17 tags      10056          0          0        840          0          0          0          0          0          0      10056

particle_model                                                                                              tag     string    padding  tag splat     bitmap      sound   vertices   geometry     shared  duplicate      total
                                                 effects\particle_models\mesh_fx\blast_radius_plasma      15279          0         57         68          0          0          0      12872          0          0      28208
                                                     effects\particle_models\mesh_fx\shield_recharge      10935          0         57         68          0          0          0       9680          0          0      20672
                                                       effects\particle_models\skin_burst\skin_burst       3487          0         57         68          0          0          0       2904          0          0       6448
                                             effects\particle_models\covenant_debris\covenant_debris       7199          0         57         68          0          0          0       6544          0          0      13800
                                                   effects\particle_models\human_debris\human_debris       5619          0         57         68          0          0          0       5032          0          0      10708
                                                        effects\particle_models\mesh_fx\blast_radius      15279          0         57         68          0          0          0          0          0      12872      28208
                                                   effects\particle_models\weapon_clips\carbine_clip      10127          0         57         68          0          0          0       8728          0          0      18912
